id,text,created_at,author,location
1461483945866919941,#Eternals be like ,2021-11-18 23:58:20+00:00,Saint Glow,"Los Angeles, CA"
1461483448678428673,"@hudblish jimin.
#gfvip #tzvip #rosmello #prelemi #gregorelli #squidgame #dispatchcouple #bbtvi21 #AFazenda #Dune… ",2021-11-18 23:56:21+00:00,lɑnᧉ. ★,"✰ . . . 𝗷𝗶𝗺𝗶𝗻, you are my shooting star, the brightest among all others, I will love you all the days of my life.  ִ 𝆬     ˓˓   🗝️⃞   ۪ "
1461483261142745097,Character poster of Harry Styles as Eros in #Eternals ,2021-11-18 23:55:37+00:00,Marvel Tesseract,"Avengers Tower, New York"
1461483004342292486,Don’t miss the #1 MOVIE in the WORLD Marvel Studios’ #Eternals! Experience the ,2021-11-18 23:54:35+00:00,MCU Times,USA
1461483000034521090,I'm going to see #Eternals tonight.,2021-11-18 23:54:34+00:00,Toni Snark,"Hamilton, New Zealand"
1461482237061476353,"Lauren ridloff and Lia McHugh went to Harry Styles's concert and he was signing to Lauren on the stage😭
This is so… ",2021-11-18 23:51:32+00:00,Rabia Connie Dixon #TWDSpoilers,
1461481459651280896,🚨New Video🚨 Barry Keoghan is the Joker in The Batman? #TheBatman #Joker #BarryKeoghan #RobertPattinson #Batman… ,2021-11-18 23:48:27+00:00,Christian Mason,United States
1461480656198782979,Add this hysterical #Disney game to your collection! #Eternals   #EternalsTH   #EternalsGilgamesh   #EternalsID… ,2021-11-18 23:45:16+00:00,Cards Against Humanity,Hollywood CA
1461479170475802631,Saw #Eternals a couple days ago. Not sure what folks were on about. I enjoyed it. Glad Marvel still has the wherewi… ,2021-11-18 23:39:21+00:00,Michael Leslie,Midwest
1461479086094569473,"@Lowtrippy nice, it remembers me the #eternals movie. i just bougth amazing job, have a nice day",2021-11-18 23:39:01+00:00,abicastre.eth,The Metaverse
1461479030817964033,A new episode of the podcast is posted! #SpiderManNoWayHome #SpiderMan #Eternals #BobaFett #bookofbobafett… ,2021-11-18 23:38:48+00:00,LaserGeek2000,"Philadelphia, Pennsylvania"
1461479001323552769,Went last night and really enjoyed it! #Eternals ,2021-11-18 23:38:41+00:00,Lauren “wear a mask” Shannon,"tokyo, japan"
1461478974563913728,"LOOK: Harry Styles is Eros, the Royal Prince of Titan, brother of Thanos, the Knave of Hearts, defeater of Black Ro… ",2021-11-18 23:38:35+00:00,iEarl 💫,"Cagayan De Oro City, Northern "
1461478492566999041,"Oh #Bitcoin and the alts gang dropping? 

@CryptoMinesApp hold my gems

#btc #eternals #cryptomines $eternals ",2021-11-18 23:36:40+00:00,Xavier,Youtube 👉🏻
1461478442277302275,I’m finally watching #eternals tomorrow night ayy,2021-11-18 23:36:28+00:00,Dannie ✪ Michael day,Sam & Kat♡ ~ Leonardo💙🐢
1461478046062583809,"🇺🇸TAQUILLA MIÉRCOLES🇺🇸

1️⃣ #Eternals $1,61M (123,6M)
2️⃣ #Clifford $715,1k (24,8M)
3️⃣ #Dune $486,0k (94,7M)
4️⃣… ",2021-11-18 23:34:53+00:00,💰𝙏𝘼𝙌𝙐𝙄𝘽𝙊𝙓💰,España
1461477302219464705,"Really enjoyed #MarvelStudios #Eternals 
Great cast but, @kumailn and @BarryKeoghan were my stand out characters
#Kingo #Druig
#OneDirection",2021-11-18 23:31:56+00:00,Mits Jutley,London
1461477043514847237,…The mid and end credits were more interesting than the actual film. Can’t wait to see Dane return as the Black Kni… ,2021-11-18 23:30:54+00:00,Kelly-Anne’s Art :),UK
1461477002003816463,"Apparently #goldenglobes is joke awards 💀😬😐

Like just because your talentless favorite from #Eternals didn't win a… ",2021-11-18 23:30:44+00:00,Lord Stark Potter,"Durban, South Africa"
1461476580589547520,"Just watched #Eternals and holy stunt casting, Batman.",2021-11-18 23:29:04+00:00,Andrew Le Breton,"London, England"
1461476460091383814,"We review and discuss Marvel Studio’s latest offereng, Eternals. @Lewbidoo @alexcorrehuh @michellechalm… ",2021-11-18 23:28:35+00:00,Team Lunchbox,
1461476340616548357,"“My beautiful, beautiful makkari”#Eternals #Druig ",2021-11-18 23:28:07+00:00,🌻🌸Autumn🐈‍⬛🌹,
1461475337083183118,"💫 Don Lee, Gemma Chan e Richard Madden com artes da ilustradora Wooh NaYoung. #Eternals ",2021-11-18 23:24:07+00:00,Avengers Assemble BR,(📩): aassemblebr@outlook.com
1461474716133306376,"Harvesting the core was suicide.

Nearly!

#RestoreTheSnyderverse
#Eternals ",2021-11-18 23:21:39+00:00,Drü - #ReleaseTheAyerCut,Gotham
1461474537070071811,"Fave thinker #Druig, Fave fighter #Makkari #Eternals ",2021-11-18 23:20:57+00:00,Victoria,
1461474163437277184,Hey yes I’m 6+ weeks late but #Eternals was a complete snooooze. Really hollow and chaotic. Bad.,2021-11-18 23:19:28+00:00,Callum Crumlish,"Essex, UK"
1461474011100196864,"Nothing, just showing my favorite eternals. I love them all btw, well except one
Saw the movie twice already, I jus… ",2021-11-18 23:18:51+00:00,Louise de Guyenro,
1461473879382241285,If you’ve seen #Eternals how would you rank it amongst other MCU movies,2021-11-18 23:18:20+00:00,Bad Disney Advice,River Country
1461473627585626115,not my favorite #eternals story but the art slappssssss! looking for a podcast talking about the 2006 eternals run?… ,2021-11-18 23:17:20+00:00,The Comically Late Podcast,the comic book multiverse
1461473290686541831,@MarvelStudios' #Eternals was aweballs.,2021-11-18 23:16:00+00:00,Carniggus Pro!,Lagos
1461472862523609096,"#eternals fans, you can preorder my Druig and Makkari shirts now!! 

",2021-11-18 23:14:17+00:00,ely✨,Creekwood 
1461472606465445907,#eternals was alright.. bring on the Spider-Man next month!,2021-11-18 23:13:16+00:00,Paul McDonnell,Plymouth
1461471942188412932,"Tinsel &amp; Tine Contributor Enrico Versace: The ETERNALS VS The AVENGERS - Gilgamesh is also strong, but he has to ma… ",2021-11-18 23:10:38+00:00,Tinsel & Tine,Philadelphia
1461471363173072899,Cheering for the #eternals to destroy Earth.,2021-11-18 23:08:20+00:00,Lgma Gaming,Skyrim
1461471069139726340,"Check out Harry Styles' new character poster as Eros in Marvel's #Eternals! 

",2021-11-18 23:07:10+00:00,Just Jared Jr.,
1461470334905995276,"Harry in #Eternals really messed my brain up
For a test about mythology today, Eros was on the painting so I wanted… ",2021-11-18 23:04:15+00:00,Promise1D ᴺᴸᶻᴸᴴ ❄️💨☀️💧,"Prunelli-di-Fiumorbo, France"
1461470153749716992,"@IC4TYUNA Apple 
#gfvip #tzvip #rosmello #prelemi #BTS #followtrick #dispatchcouple #bbtvi21 #Dune #AFazenda… ",2021-11-18 23:03:32+00:00,hatake,            정국 지민. she/her!
1461469999894347776,Me pretending to be Thena after watching #Eternals 😂 ,2021-11-18 23:02:55+00:00,Eternal Jolie 🔥,The Netherlands
1461469452071890944,#eternals tomorrow!!!!!,2021-11-18 23:00:44+00:00,George Machin,"Wellington, New Zealand"
1461468868325560329,Phenomenal 👏 #Eternals ,2021-11-18 22:58:25+00:00,SeaWAW.,Asylum
1461468147987398666,"Throughly enjoyed #Eternals. Smart, funny, character driven with wonderful representation. Chloé Zhao keeps an assu… ",2021-11-18 22:55:33+00:00,ProductionHiveUK,UK
1461467517948510208,@DiscussingFilm #Eternals is the best #Marvel movie ever.,2021-11-18 22:53:03+00:00,Not Home Studios,
1461467422695821327,"Spoiler #Eternals

I really explained the myth about Icarus before watching the Eternal,
I did not expect #Ikaris t… ",2021-11-18 22:52:40+00:00,Et,
1461467270790582278,@THR Can't wait for #Eternals 2,2021-11-18 22:52:04+00:00,Eddie,"Los Angeles, Ca"
1461467210581487625,OMG I TOTALLY FORGOT TO TELL NO ONE WHO CARES THAT I SAW #ETERNALS TONIGHT!!!,2021-11-18 22:51:50+00:00,series.hellwatcher,
1461467202478125058,"I fell in love with the villain 🙄
IT ALWAYS HAPPENS, what’s wrong with me? 😩 I need therapy… #Eternals",2021-11-18 22:51:48+00:00,Sonia Arri,Colombia
1461466524867346440,"@/MarvelStudios Meet the Royal Prince of Titan, brother of Thanos, the Knave of Hearts, defeater of Black Roger, th… ",2021-11-18 22:49:06+00:00,1D UPDATES,Worldwide 🌎 | Turn Notifs On
1461466483247230978,I’m not into the Harry Styles grew up with Thanos story. It doesn’t sound believable. Thanos would have become anno… ,2021-11-18 22:48:56+00:00,𝕿𝖗𝖆𝖟𝖞,Gotham 
1461466285603266563,"ladies and gentleman .. ✨ h i m ✨ @BarryKeoghan #barrykeoghan #Eternals #Druig #MarvelStudios i made this y’all, on… ",2021-11-18 22:48:09+00:00,M,ғᴀɴᴛᴀsʏᴡʀʟᴅ♥
1461466228267044865,"I had such a blast talking to @EthanSimmie about #Eternals. A film that has so much to say, so much to engage with,… ",2021-11-18 22:47:56+00:00,Alden on Ahch-To Radio 🎙,"Florida, USA"
1461465664116469768,"It’s Starfox!
Repost from @heroichollywood
•
#HarryStyles joins the MCU as #Eros AKA #StarFox the brother of Thanos… ",2021-11-18 22:45:41+00:00,TheHipsterZOMBIEJointExp,
1461465638938066946,flopped on tiktok so I’m leaving it here 🤲🏿 #Eternals ,2021-11-18 22:45:35+00:00,blvnklust,they/them
1461465138792382468,The final episode focuses on the final battle and conclusion of the film. This has been my thought exercise on… ,2021-11-18 22:43:36+00:00,Norman Felker,
1461464862815625218,"Like I wrote in my review,

""It’s a bad sign when the top reason for MCU fans to see your new movie is a mid-credit… ",2021-11-18 22:42:30+00:00,Peter Pischke-Friendly Neighborhood Journo,Kamurocho
1461464504814952458,"Question about the final post-credits scene after #Eternals:

What's it hinting at? Captain Britain?",2021-11-18 22:41:05+00:00,Daryl Millar,"Suffolk, UK"
1461464304855695367,"Celebrating L'Art &amp; La Matière alongside the Guerlain family, Guerlain Muse &amp; #WomenForBees Godmother… ",2021-11-18 22:40:17+00:00,.Judy.,
1461464187184443395,They made @Harry_Styles an #Eternals Poster now that it’s been out for a bit and people know he’s in the end credit… ,2021-11-18 22:39:49+00:00,Moustafa Elhadary,
1461464174391877632,Harry Styles gets his own poster for his role as Eros in #Eternals ,2021-11-18 22:39:46+00:00,The Hollywood Reporter,"Hollywood, CA"
1461463744735854592,"#hasbro #eternals #thena #actionfigures #toyphotography #target Disney buy 2 get 1 free

#indie #cosplay #cosplayer… ",2021-11-18 22:38:04+00:00,omidokasuo,
1461463476979781641,#Eternals is the most popular movie on our site for the second consecutive week. ,2021-11-18 22:37:00+00:00,Rotten Tomatoes,Los Angeles
1461462853282578435,"parents 
#eternals ",2021-11-18 22:34:31+00:00,marti ϟ४ | deancas,Jotunheim
1461462499983863814,"Dark Way Home.

#MCU #Avengers #Marvel #Loki #Multiverse #Eternals #SpiderMan ",2021-11-18 22:33:07+00:00,Marvel Memes,Asgard
1461462480916414472,"Queen Medusa drops into Action #INHUMANSday December 4th @Marvel @MarvelStudios @Kevfeige
@Disney @disneyplus… ",2021-11-18 22:33:02+00:00,DeadpoolisBack 3.0,probably in space or something
1461461907416702978,Get yourself a best friend like @nitin_suriacant ❤️‍🔥 #Eternals last movie date till next year🥺 ,2021-11-18 22:30:46+00:00,JayeshM,LDN
1461461839414538249,"Minor #Eternals spoilers ahead!
",2021-11-18 22:30:29+00:00,Marvel vs. DC,
1461461727606882314,Did I just order the #Eternals Urban Decay palette? Yes. ,2021-11-18 22:30:03+00:00,NotTheOnlyOne,Miami 🌴☔️🔥
1461460868693217288,THREAD: Mochilas de #Eternals ,2021-11-18 22:26:38+00:00,ETERNALS BRASIL | HOJE,
1461460779605979144,"Ikaris - the boy who flew too close to the Sun
#Eternals ",2021-11-18 22:26:17+00:00,be gay 👏 practice necromancy 🙏,United States
1461460722114781193,Superconnectivity Episode #367 ,2021-11-18 22:26:03+00:00,Superconnectivity,Capes and Lunatics Podcast
1461460664082382853,Just bought my ticket for #Eternals on Saturday. ,2021-11-18 22:25:49+00:00,Dome W. 🏳️‍🌈,"Frankfurt am Main, Deutschland"
1461460230630432778,Tonight’s viewing was the #Eternals ,2021-11-18 22:24:06+00:00,Movie Man,
1461459924957941765,.@Superconnectpod Episode #367 ,2021-11-18 22:22:53+00:00,Phil Perich,"Pittsburgh, PA"
1461459906276601862,"Eternals was WAAAAY too long. You could have told that story in half the time. 
My least favourite MCU film by far. #Eternals",2021-11-18 22:22:48+00:00,Eurisko,
1461458975875117060,The more I think about it the more I realise #eternals and #StevenUniverse are the same thing in different fonts.,2021-11-18 22:19:07+00:00,Mayam 👑🌻✨,Space
1461458843712593927,finally reading this piece from @katxmoon on #Eternals and it's soo insightful! i also just really adore #Makkari l… ,2021-11-18 22:18:35+00:00,chyenne tatum ✧,"Chicago, IL"
1461458703631233025,Today In RTA [Marvel Strike Force] 11/17 - MSF ,2021-11-18 22:18:02+00:00,Justice Three Gaming,"Tampa, FL United States"
1461458692302426113,I’m watching #Eternals ,2021-11-18 22:17:59+00:00,🍁 Zach Sally 🍁,"Minneapolis, MN"
1461456894460153859,"Seeing #dune the same week as #Eternals makes you realise how good #denisvilleneuve is as a director, and how under… ",2021-11-18 22:10:50+00:00,Gareth Davey,Swansea
1461455679001092100,"Please go see the #Eternals I highly recommend it! 
It is better than what the critics say
#MarvelStudios #Marvel ",2021-11-18 22:06:01+00:00,Mr.Manifesto,England
1461455259780321281,"#MarvelStudios officially RELEASES #Eternals poster for #HarryStyles' Eros character; See
",2021-11-18 22:04:21+00:00,Pinkvilla,"Mumbai, India"
1461455150581698562,"Loved Eternals, but I guess I was always going to… don’t believe the haters - it’s a film ahead of it’s time 😜 #Eternals",2021-11-18 22:03:55+00:00,Mouth,"London, England"
1461454892250243074,Namor looking at a giant damn Celestial in his ocean like: #Eternals ,2021-11-18 22:02:53+00:00,єℓ мι∂ωιиgσ,
1461454748717133827,"#Eternals  spoilers
-
-
and when i get to see the hd version of this scene again &gt;&gt;&gt; ",2021-11-18 22:02:19+00:00,kea | ⊗ ⎊ | eternals era,{she/her} | 18 | black 
1461454574645039105,"Ikaris
""It's The Only Path I Know.""

Learn to Draw Ikaris from The Eternals
",2021-11-18 22:01:37+00:00,✏️NIL-Tech Art Tools & Feature,New York
1461454458999623682,"This livestreaming event starts Thursday, November 18th (11/18) at 7pm Pacific / 9pm Central / 10pm Eastern.… ",2021-11-18 22:01:10+00:00,The Christian Comic Arts Society,
1461454113607237633,"Alright y'all, you heard us talk about it on our podcast this week...Now, is Y'ALL's chance to tell us who you thin… ",2021-11-18 21:59:47+00:00,Friggin' Nerds Media,Avengers Campus 
1461454064416399360,"Stream #SpotifyLyrics
#Spotify
#Eternals
#uominiedonne
#Amicispoiler
#Amici21 #RedTaylorsVersion #gfvip… ",2021-11-18 21:59:36+00:00,"Cal 200 w Vani, Mikey Day",Heart Eyes Only 4 Tyler Joseph
1461453839182307335,Eternals - awesome movie! Recommend. #Eternals,2021-11-18 21:58:42+00:00,👨‍🏫 Mr Chalk,"Hat Yai, Thailand"
1461453596411629568,"Eternals grossed $1.61M on Wednesday (from 4,090 locations).  Total gross stands at $123.61M.

#Eternals… ",2021-11-18 21:57:44+00:00,BoxOfficeReport.com,"California, USA"
1461453574353866752,CELESTIAL? watch #eternals in theaters now!,2021-11-18 21:57:39+00:00,jamal 🍂,he/him 18 black
1461453318526418944,"✨ new patreon episode of the pod ✨

Alden Diaz of @AhchToRadio joined me to take a deep dive look at #Eternals  and… ",2021-11-18 21:56:38+00:00,15 Minutes of Marvel,Portland
